Round,DmgUpgrade,ConsUpgrade,ExpUpgrade,GoldUpgrade,ChargeUpgrade,Gold,Level,Xp,DmgDoneTotal,Place,RwdGold,RwdExp,BossTier
1,0,0,0,0,0,0,0,0,188,1,13,13,1
2,0,0,0,2,0,2,1,3,404,5135,16,17,2
3,1,0,0,2,1,3,2,5,656,2355,18,19,3
4,3,0,0,2,1,7,3,4,987,540,23,19,4
5,3,0,1,2,2,6,3,23,1342,551,26,23,5
6,4,0,1,2,2,22,4,20,1735,904,23,28,6
7,5,1,1,3,2,1,5,16,2197,34,30,32,7
8,6,1,2,4,2,1,6,10,2690,164,37,33,8
9,6,1,2,6,2,14,6,43,3193,745,39,35,9
10,7,1,2,8,2,4,7,33,3718,816,40,37,10
11,8,1,3,8,2,17,8,19,4301,1259,52,48,11
12,10,1,3,9,2,1,9,9,4967,794,55,47,12
13,10,1,3,9,3,20,9,56,5627,440,52,56,13
14,11,1,3,10,3,20,10,47,6353,500,62,52,14
15,11,1,6,12,3,0,11,26,7148,1277,77,72,15
16,12,1,6,13,3,14,12,18,7901,1380,89,67,16
17,13,1,6,14,3,33,12,85,8758,1533,78,80,17
18,14,1,7,15,3,19,13,77,9650,1608,92,79,18
19,15,1,7,16,3,26,14,59,10572,1749,117,86,19
20,16,1,7,17,3,49,15,40,11504,1992,114,98,20
21,18,1,7,17,3,50,16,24,12517,1748,125,100,21
22,19,1,7,19,3,11,17,1,13474,1953,153,110,22
23,20,1,8,19,4,11,17,111,14603,1147,134,117,21
24,21,1,8,19,4,70,18,95,15746,1283,152,132,22
25,21,1,9,20,5,18,19,85,17037,922,143,143,23
26,22,1,10,21,5,0,20,76,18483,946,166,154,24
27,23,1,10,21,5,80,21,67,19921,1231,181,156,25
28,24,1,10,21,5,169,22,49,21387,1372,172,141,24
29,24,1,10,21,6,94,23,5,23041,1091,193,147,25
30,25,1,10,23,6,54,23,152,24711,1234,216,187,26
31,26,2,10,23,6,85,24,142,26577,985,205,164,25
32,26,2,10,23,6,290,25,97,28548,1035,223,152,26
33,26,2,10,23,7,43,26,28,30476,584,230,180,27
34,28,2,10,23,7,44,26,208,32570,510,188,158,26
35,28,2,10,25,7,76,27,132,34784,896,249,206,27
36,29,3,10,25,7,8,28,91,37029,124,279,204,28
37,29,3,11,27,7,87,29,34,39274,573,291,209,29
38,31,3,11,28,7,8,29,243,41799,574,245,212,28
39,32,3,11,29,7,2,30,180,44307,573,255,217,29
40,32,3,11,31,7,29,31,108,46698,874,292,259,30
41,34,3,11,31,7,3,32,63,49430,674,282,221,29
42,34,3,12,32,7,137,32,284,51894,1010,344,256,30
43,36,3,13,32,7,103,33,220,54480,809,278,230,29
44,36,3,13,33,7,249,34,114,57320,989,357,222,30
45,36,3,13,33,7,606,34,336,60108,1318,330,257,31
46,36,3,13,33,8,43,35,241,63217,638,371,309,32
47,38,3,13,33,8,29,36,181,66132,533,389,286,33
48,39,3,13,34,8,73,37,80,69358,550,421,269,32
49,39,3,13,34,8,494,37,349,72296,810,435,299,33
50,39,3,13,34,8,929,38,243,75522,1244,401,251,32
51,39,3,13,34,8,1330,39,70,78430,1482,417,316,33
52,39,3,13,34,9,49,39,386,81917,933,394,279,32
53,40,3,15,35,9,20,40,222,85277,785,438,315,33
54,40,3,15,36,9,303,41,74,88512,1211,492,357,34
55,40,4,16,38,9,15,41,431,92136,715,427,347,33
56,41,4,16,39,9,35,42,294,95584,689,431,322,34
57,42,4,16,39,9,232,43,111,99157,729,401,314,33
58,44,4,16,39,9,135,43,425,103052,542,482,331,34
59,45,4,17,40,9,125,44,229,106651,491,469,380,35
60,46,4,17,41,9,119,45,60,110775,488,479,332,34
61,46,4,17,41,9,598,45,392,114753,719,519,377,35
62,47,5,17,41,9,13,46,197,118884,188,563,400,36
63,48,5,17,42,9,70,47,1,122917,282,517,406,35
64,49,5,17,42,9,280,47,407,127360,417,544,418,36
65,51,5,19,42,9,93,48,204,131643,214,573,486,37
66,52,5,20,42,9,279,49,44,136229,457,560,426,36
67,54,5,20,42,9,121,49,470,140810,560,645,405,37
68,55,5,20,42,9,389,50,203,145633,4,608,423,36
69,56,5,20,43,9,386,50,626,150285,39,667,422,37
70,57,5,20,45,9,178,51,349,155322,12,662,468,36
71,58,5,21,46,9,121,52,90,160704,10,686,474,37
72,59,5,22,47,9,61,52,564,165578,12,648,523,38
73,59,5,22,48,9,431,53,331,170976,152,645,496,37
74,60,5,22,50,9,42,54,42,176101,170,679,479,38
75,61,5,22,50,9,266,54,521,181628,191,708,459,37
76,63,5,22,50,9,24,55,165,187182,189,793,510,38
77,64,5,22,50,9,321,55,675,192447,128,778,499,39
78,66,5,22,50,9,64,56,328,197935,166,726,448,38
79,66,5,22,50,9,790,56,776,203370,226,800,575,39
80,66,5,22,50,9,1590,57,472,209013,367,779,479,38
81,66,5,22,50,9,2369,58,39,214294,547,749,489,39
82,66,5,22,50,9,3118,58,528,220092,703,765,470,38
83,66,5,23,50,10,601,59,52,225766,242,814,584,39
84,66,5,23,50,10,1415,59,636,231266,296,759,539,38
85,67,6,24,50,10,3,60,194,237198,1,937,585,39
86,68,6,25,51,10,7,60,779,243599,5,765,586,38
87,68,6,28,52,10,229,61,348,249478,117,869,644,39
88,69,6,29,52,10,450,61,992,255651,133,953,649,40
89,71,6,30,52,10,136,62,587,262130,109,839,584,39
90,72,6,30,52,10,360,63,79,268735,103,961,631,40
91,73,6,31,52,10,603,63,710,275715,129,979,667,41
92,75,6,32,52,10,181,64,246,282453,2,1007,650,40
93,76,6,32,53,10,164,64,896,289445,3,978,742,41
94,76,6,32,54,10,784,65,467,296311,20,901,710,40
95,76,6,32,54,10,1685,65,1177,303366,99,1062,765,41
96,76,6,32,54,10,2747,66,729,310295,276,995,738,42
97,76,7,33,54,10,710,67,211,317174,14,1045,686,41
98,76,7,33,54,10,1755,67,897,324053,116,851,605,40
99,76,7,33,54,10,2606,68,202,331191,273,1042,743,41
100,76,7,33,54,10,3648,68,945,338588,364,1097,680,42
101,76,7,33,54,10,4745,69,280,345726,558,1115,903,43
102,76,7,33,54,10,5860,69,1183,352669,777,995,803,42
103,77,7,33,54,11,28,70,594,359620,22,1001,667,41
104,77,7,33,56,11,268,70,1261,367277,68,987,797,42
105,78,7,33,57,11,138,71,619,374291,109,1155,780,43
106,79,7,33,58,11,143,71,1399,382370,220,1106,715,42
107,80,7,34,58,11,402,72,625,390520,282,1088,828,43
108,81,7,36,58,11,510,72,1453,397723,336,1152,1010,44
109,82,7,37,59,11,329,73,924,405217,419,1146,834,43
110,83,7,37,60,11,221,74,167,413363,450,1027,881,42
111,84,7,37,60,11,430,74,1048,420839,544,1185,811,43
112,85,7,38,60,11,660,75,214,429142,57,1109,740,42
113,87,7,38,60,11,41,75,954,437906,5,1366,912,43
114,88,7,38,60,11,515,76,166,446824,34,1436,941,44
115,90,7,38,60,11,110,76,1107,455557,2,1197,872,43
116,91,7,38,60,11,357,77,223,463946,1,1404,905,44
117,92,7,38,60,11,792,77,1128,472306,2,1220,987,43
118,94,7,38,60,11,14,78,301,481318,1,1441,1049,44
119,94,7,38,62,11,493,78,1350,490076,2,1352,831,43
120,95,7,39,63,11,183,79,307,498902,2,1275,1017,44
